run_date,model,variant,hf_slug,quantization,params,weight_gb,gpus_raw,gpus_per_replica,bytes_per_param,status
2026-07-28,xiaomi/mimo-v2.5-20260422,standard,XiaomiMiMo/MiMo-V2.5,fp8,310775040000,289.4,6.03,8,1.0,ok
2026-07-28,deepseek/deepseek-v4-flash-20260423,standard,deepseek-ai/DeepSeek-V4-Flash,fp8,158069433298,147.2,3.07,4,1.0,ok
2026-07-28,tencent/hy3-20260706,standard,tencent/Hy3,fp8,298786155776,278.3,5.8,8,1.0,ok
2026-07-28,deepseek/deepseek-v4-pro-20260423,standard,deepseek-ai/DeepSeek-V4-Pro,fp8,1598839674782,1489.0,31.02,32,1.0,ok
2026-07-28,z-ai/glm-5.2-20260616,standard,zai-org/GLM-5.2,fp8,753329940480,701.6,14.62,16,1.0,ok
2026-07-28,minimax/minimax-m3-20260531,standard,MiniMaxAI/Minimax-M3,fp8,427040140160,397.7,8.29,16,1.0,ok
2026-07-28,stepfun/step-3.7-flash-20260528,standard,,fp8,,,,,,closed_weights
2026-07-28,anthropic/claude-4.8-opus-20260528,standard,,fp8,,,,,,closed_weights
2026-07-28,moonshotai/kimi-k3-20260715,standard,,fp8,,,,,,closed_weights
2026-07-28,anthropic/claude-sonnet-5-20260630,standard,,fp8,,,,,,closed_weights
2026-07-28,google/gemini-3-flash-preview-20251217,standard,,fp8,,,,,,closed_weights
2026-07-28,anthropic/claude-4.6-sonnet-20260217,standard,,fp8,,,,,,closed_weights
2026-07-28,anthropic/claude-4.7-opus-20260416,standard,,fp8,,,,,,closed_weights
2026-07-28,google/gemini-2.5-flash-lite,standard,,fp8,,,,,,closed_weights
2026-07-28,google/gemini-2.5-flash,standard,,fp8,,,,,,closed_weights
2026-07-28,xiaomi/mimo-v2.5-pro-20260422,standard,,fp8,,,,,,closed_weights
2026-07-28,google/gemini-3.1-flash-lite-20260507,standard,,fp8,,,,,,closed_weights
2026-07-28,x-ai/grok-4.5-20260708,standard,,fp8,,,,,,closed_weights
2026-07-28,openai/gpt-5.6-sol-20260709,standard,,fp8,,,,,,closed_weights
2026-07-28,openai/gpt-oss-120b,standard,,fp8,,,,,,closed_weights
2026-07-28,xiaomi/mimo-v2.5-20260422,standard,XiaomiMiMo/MiMo-V2.5,fp8,310775040000,289.4,6.03,8,1.0,ok
2026-07-28,deepseek/deepseek-v4-flash-20260423,standard,deepseek-ai/DeepSeek-V4-Flash,fp8,158069433298,147.2,3.07,4,1.0,ok
2026-07-28,tencent/hy3-20260706,standard,tencent/Hy3,fp8,298786155776,278.3,5.8,8,1.0,ok
2026-07-28,deepseek/deepseek-v4-pro-20260423,standard,deepseek-ai/DeepSeek-V4-Pro,fp8,1598839674782,1489.0,31.02,32,1.0,ok
2026-07-28,z-ai/glm-5.2-20260616,standard,zai-org/GLM-5.2,fp8,753329940480,701.6,14.62,16,1.0,ok
2026-07-28,minimax/minimax-m3-20260531,standard,MiniMaxAI/Minimax-M3,fp8,427040140160,397.7,8.29,16,1.0,ok
2026-07-28,stepfun/step-3.7-flash-20260528,standard,stepfun-ai/Step-3.7-Flash,fp8,201365316160,187.5,3.91,4,1.0,ok
2026-07-28,anthropic/claude-4.8-opus-20260528,standard,,unknown,,,,,,closed_weights
2026-07-28,moonshotai/kimi-k3-20260715,standard,moonshotai/Kimi-K3,fp8,2779931837184,2589.0,53.94,64,1.0,ok
2026-07-28,anthropic/claude-sonnet-5-20260630,standard,,unknown,,,,,,closed_weights
2026-07-28,google/gemini-3-flash-preview-20251217,standard,,unknown,,,,,,closed_weights
2026-07-28,anthropic/claude-4.6-sonnet-20260217,standard,,unknown,,,,,,closed_weights
2026-07-28,anthropic/claude-4.7-opus-20260416,standard,,unknown,,,,,,closed_weights
2026-07-28,google/gemini-2.5-flash-lite,standard,,unknown,,,,,,closed_weights
2026-07-28,google/gemini-2.5-flash,standard,,unknown,,,,,,closed_weights
2026-07-28,xiaomi/mimo-v2.5-pro-20260422,standard,XiaomiMiMo/MiMo-V2.5-Pro,fp8,1023244718976,953.0,19.85,32,1.0,ok
2026-07-28,google/gemini-3.1-flash-lite-20260507,standard,,unknown,,,,,,closed_weights
2026-07-28,x-ai/grok-4.5-20260708,standard,,unknown,,,,,,closed_weights
2026-07-28,openai/gpt-5.6-sol-20260709,standard,,unknown,,,,,,closed_weights
2026-07-28,openai/gpt-oss-120b,standard,openai/gpt-oss-120b,fp4,120412337472,56.1,1.17,2,0.5,ok
2026-07-28,xiaomi/mimo-v2.5-20260422,standard,XiaomiMiMo/MiMo-V2.5,fp8,310775040000,289.4,6.03,8,1.0,ok
2026-07-28,deepseek/deepseek-v4-flash-20260423,standard,deepseek-ai/DeepSeek-V4-Flash,fp8,158069433298,147.2,3.07,4,1.0,ok
2026-07-28,tencent/hy3-20260706,standard,tencent/Hy3,fp8,298786155776,278.3,5.8,8,1.0,ok
2026-07-28,deepseek/deepseek-v4-pro-20260423,standard,deepseek-ai/DeepSeek-V4-Pro,fp8,1598839674782,1489.0,31.02,32,1.0,ok
2026-07-28,z-ai/glm-5.2-20260616,standard,zai-org/GLM-5.2,fp8,753329940480,701.6,14.62,16,1.0,ok
2026-07-28,minimax/minimax-m3-20260531,standard,MiniMaxAI/Minimax-M3,fp8,427040140160,397.7,8.29,16,1.0,ok
2026-07-28,stepfun/step-3.7-flash-20260528,standard,stepfun-ai/Step-3.7-Flash,fp8,201365316160,187.5,3.91,4,1.0,ok
2026-07-28,anthropic/claude-4.8-opus-20260528,standard,,unknown,,,,,,closed_weights
2026-07-28,moonshotai/kimi-k3-20260715,standard,moonshotai/Kimi-K3,fp8,2779931837184,2589.0,53.94,64,1.0,ok
2026-07-28,anthropic/claude-sonnet-5-20260630,standard,,unknown,,,,,,closed_weights
2026-07-28,google/gemini-3-flash-preview-20251217,standard,,unknown,,,,,,closed_weights
2026-07-28,anthropic/claude-4.6-sonnet-20260217,standard,,unknown,,,,,,closed_weights
2026-07-28,anthropic/claude-4.7-opus-20260416,standard,,unknown,,,,,,closed_weights
2026-07-28,google/gemini-2.5-flash-lite,standard,,unknown,,,,,,closed_weights
2026-07-28,google/gemini-2.5-flash,standard,,unknown,,,,,,closed_weights
2026-07-28,xiaomi/mimo-v2.5-pro-20260422,standard,XiaomiMiMo/MiMo-V2.5-Pro,fp8,1023244718976,953.0,19.85,32,1.0,ok
